Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",primitive_type,"[361, 44, 1820]",2
"3,5",identifier,"[739, 796, 1128]",1
"3,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"3,10",primitive_type,[624],1
"3,14",),"[739, 720, 1118, 1598]",4
"4,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"5,3",identifier,[23],4
"5,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",4
"5,10",""" string_content ""","[988, 1256, 451]",3
"5,11","string_content """,[1531],1
"5,34","""",[1547],1
"5,35",", expression","[627, 663, 684, 1018]",2
"5,37",identifier,[476],1
"5,44",( ),"[715, 1025, 1572]",19
"5,45",),[451],4
"5,47",!= expression,"[696, 668, 837, 1025, 1572]",0
"5,50",identifier,[618],1
"5,53",),"[715, 960, 684, 1025, 1572]",1
"5,54",;,"[698, 668, 837, 1056]",1
"6,3",return expression ;,"[248, 244, 25]",5
"6,10",number_literal,[475],2
"6,11",;,"[684, 1070]",1
"7,1",},"[199, 244, 31, 25]",1
